aqiMajorPollutant,airQualityLevel,observationDateTime,deviceStatus,airQualityIndex,id,co.avgOverTime,pm10.avgOverTime,pm2p5.avgOverTime,so2.avgOverTime,airTemperature.avgOverTime,o3.avgOverTime,atmosphericPressure.avgOverTime,uv.avgOverTime,illuminance.avgOverTime,relativeHumidity.avgOverTime,co2.avgOverTime,ambientNoise.avgOverTime,no2.avgOverTime
PM2.5,SATISFACTORY,2022-01-01 20:31:16+05:30,ACTIVE,77,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/b4b9e3b8-fcfa-08c2-a9c5-2093748a116c,3.26,67.54,37.89,2.71,24.69,0.2,0.94,0.0,2.61,69.82,277.32,81.58,59.68
NO2,SATISFACTORY,2022-01-01 20:31:16+05:30,ACTIVE,79,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/3d3a569a-1a89-c3b6-671c-5675e4132c32,3.34,199.64,103.77,3.27,24.06,0.74,0.94,0.0,24.3,64.12,459.26,79.08,89.32
PM2.5,VERY_POOR,2022-01-01 20:31:21+05:30,ACTIVE,349,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/6e5c898e-23ee-f77a-82f5-ebc4998f5f4a,4.23,334.4,233.47,6.74,25.51,42.97,0.94,0.0,10.16,64.38,212.74,75.03,90.99
PM2.5,MODERATE,2022-01-01 20:31:22+05:30,ACTIVE,173,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/145bacfd-da11-d35f-ed80-ce7475d9bf3d,4.2,148.86,93.76,9.67,26.0,3.89,0.94,0.0,3.49,64.89,0.0,72.5,58.41
CO,SATISFACTORY,2022-01-01 20:46:08+05:30,ACTIVE,76,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/12bd3b5b-a189-0d10-3a1f-20a0ba699d7f,5.04,127.05,67.32,6.94,23.63,18.66,0.94,0.0,6.43,68.63,0.0,79.93,83.43
PM2.5,VERY_POOR,2022-01-01 20:46:08+05:30,ACTIVE,304,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/2353b250-df9a-4108-8e2c-240955969d7e,5.49,229.82,124.22,5.14,24.47,0.0,0.94,0.0,3.33,71.69,0.0,69.28,116.29
PM2.5,VERY_POOR,2022-01-01 20:46:10+05:30,ACTIVE,310,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/8cff12b2-b8be-1230-c5f6-ca96b4e4e441,1.43,177.94,122.42,1.76,22.42,9.19,0.94,0.0,1.38,74.84,543.17,73.94,67.92
PM2.5,VERY_POOR,2022-01-01 20:46:10+05:30,ACTIVE,360,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/184ba502-22a8-ad15-a8f1-c966cd3aa7a7,3.36,216.57,141.06,4.58,25.45,0.0,0.94,0.0,1.93,65.43,336.09,73.76,85.87
NO2,MODERATE,2022-01-01 20:46:10+05:30,ACTIVE,103,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/02b868e6-59f7-9359-3ae3-6feaf0e6bd9f,2.96,153.19,91.5,9.75,24.64,11.41,0.93,0.0,5.24,64.39,110.24,77.82,97.39
CO,MODERATE,2022-01-01 20:46:10+05:30,ACTIVE,107,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/21ece4ba-0dcf-843a-16e0-35e0082277dd,7.16,124.11,62.71,12.48,24.97,1.98,0.94,0.0,5.15,68.65,552.05,78.36,85.86
PM2.5,POOR,2022-01-01 20:46:10+05:30,ACTIVE,243,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/0541f9dd-2787-d791-9340-c30da7750de7,4.47,98.56,59.08,0.64,23.88,1.13,0.94,0.0,4.32,70.72,6.08,62.66,141.54
PM2.5,VERY_POOR,2022-01-01 20:46:10+05:30,ACTIVE,360,datakaveri.org/04a15c9960ffda227e9546f3f46e629e1fe4132b/rs.iudx.org.in/pune-env-aqm/184ba502-22a8-ad15-a8f1-c966cd3aa7a7,3.36,216.57,141.06,4.58,25.45,0.0,0.94,0.0,1.93,65.43,336.09,73.76,85.87
