route_id,trip_delay,license_plate,last_stop_arrival_time,trip_id,observationDateTime,trip_direction,vehicle_label,id,last_stop_id,actual_trip_start_time,location/type,location/coordinates/0,location/coordinates/1,speed
126D,63,GJ05BX3391,10:31:20,17528772,2022-01-01T10:35:39+05:30,DN,C095,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,2621,2022-01-01T10:07:24+05:30,Point,72.81875,21.18308,11
216KD,807,GJ05bz0313,10:07:05,17531919,2022-01-01T10:35:38+05:30,DN,C100,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,6109,2022-01-01T08:34:26+05:30,Point,72.71591,21.08112,0
107U,1059,GJ05BX2755,08:20:24,17533072,2022-01-01T10:35:35+05:30,UP,C122,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,1144,2022-01-01T08:20:04+05:30,Point,72.84013,21.20421,0
108D,21,GJ05BX2799,10:35:28,17528652,2022-01-01T10:35:38+05:30,DN,C127,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,6803,2022-01-01T10:03:35+05:30,Point,72.767565,21.286906,41
658U,2850,GJ05BX3128,,17526605,2022-01-01T10:35:15+05:30,UP,C152,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,6991,2022-01-01T09:00:09+05:30,Point,72.657066,21.178312,6
112D,580,GJ05BX3293,10:33:22,17529153,2022-01-01T10:35:26+05:30,DN,C170,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,1015,2022-01-01T10:19:09+05:30,Point,72.831629,21.21113,21
108U,145,GJ05BX3477,10:22:02,17528621,2022-01-01T10:35:33+05:30,UP,C192,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,6812,2022-01-01T09:34:06+05:30,Point,72.751755,21.336963,0
17AU,301,GJ05CU0549,10:31:11,17530194,2022-01-01T10:35:41+05:30,UP,E002,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,2004,2022-01-01T09:29:56+05:30,Point,72.785902,21.183149,0
17AD,785,GJ05CU0654,10:31:48,17530285,2022-01-01T10:35:43+05:30,DN,E003,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,4054,2022-01-01T09:38:48+05:30,Point,72.90949,21.236812,27
21U,195,GJ05CU1051,10:31:40,17531184,2022-01-01T10:35:40+05:30,UP,E005,suratmunicipal.org/6db486cb4f720e8585ba1f45a931c63c25dbbbda/rs.iudx.org.in/surat-itms-realtime-info/surat-itms-live-eta,2069,2022-01-01T09:36:55+05:30,Point,72.855934,21.149063,39
